"Geslacht";"Leeftijd";"Gestandaardiseerd inkomen";"Zorgvorm Zvw-zorgkosten";"Perioden";"Gemiddelde zorgkosten volgens de Zvw (euro)";"Personen met Zvw-zorgkosten, relatief (%)"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"Totaal alle inkomens";"Geestelijke gezondheidszorg-ZPM";"2023*";"     283";"     5.3"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2009";"    1116";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2010";"    1114";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2011";"    1099";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2012";"    1118";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2013";"    1175";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2014";"    1180";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2015";"    1145";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2016";"    1241";"       ."
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2017";"    1268";"    56.5"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2018";"    1315";"    57.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2019";"    1388";"    57.2"
"Totaal mannen en vrouwen";"Totaal, gestandaardiseerd";"1e 10%-inkomensgroep (laag inkomen)";"Ziekenhuiszorg";"2020";"    1309";"    52.3"
